Warm,Electronic,Wine,Coca Cola/Pepsi,F
Cool,Rock,Beer,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Cool,Pop,Beer,Fanta,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Warm,R&B and soul,Wine,Other,M
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Electronic,Other,Coca Cola/Pepsi,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Pop,Other,Fanta,M
Cool,Pop,Whiskey,Fanta,M
Warm,Rock,Vodka,7UP/Sprite,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Neutral,Pop,Doesn't drink,7UP/Sprite,M
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
